"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"109","Z=~z2",0.85182384566716,0.049742261853791,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"110","Z=~z3",0.75337261947604,0.0508286220366623,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"111","Y=~y1",0.798685865017665,0.0419889357537872,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"112","Y=~y2",0.696280252098745,0.0556916412852111,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"113","Y=~y3",0.847089064761102,0.0414711779332997,0.8,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"114","Y~X",0.358842521322848,0.0692412235235055,0.4,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"115","Y~Z",0.447106073704392,0.066555638504355,0.5,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"116","Y~X:Z",0.230748462398817,0.0905184263145306,0.3,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"117","X~~Z",0.374600523957347,0.0638211379071627,0.2,"MC-OrdPLSc",1203,5071634,500,"Symmetric","2",TRUE,15.19
"118","X=~x1",0.706210815023541,0.0750955383784962,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"119","X=~x2",0.700332881632447,0.0655745896112514,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"120","X=~x3",0.605633919008196,0.0714186823729284,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"121","Z=~z1",0.651031105561682,0.0639568155940354,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"122","Z=~z2",0.69345190634529,0.0624500598089531,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"123","Z=~z3",0.636068430312264,0.0635744428080318,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"124","Y=~y1",0.67891199666236,0.0489645355549899,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"125","Y=~y2",0.524406948221098,0.0629945732919432,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"126","Y=~y3",0.709866652884929,0.0517244566654738,0.8,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"127","Y~X",0.34358446843655,0.0643100732101294,0.4,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"128","Y~Z",0.432262261605444,0.0615075257460792,0.5,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"129","Y~X:Z",0.185280134050364,0.0698383675988068,0.3,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"130","X~~Z",0.34776508487159,0.0615898300192155,0.2,"PLSc",1203,5071634,500,"Symmetric","2",TRUE,4.22
"131","X=~x1",0.81058546410951,0.0298341707672619,0.8,"PLS",1203,5071634,500,"Symmetric","2",TRUE,1.95000000000002
